Category,NPC_or_Entity,Source_File,Reference_Type,Reference,Sample_Text,Pegasus_Value,LSB_Value,Match,Notes
IDs.lua,(zone constant),IDs.lua,text_constant,AMULYA_SHOP_DIALOG,Hello. Welcome to the Blacksmiths' Guild shop.,8023,8023,YES,
IDs.lua,(zone constant),IDs.lua,text_constant,CALL_MULTIPLE_ALTER_EGO,You are now able to call multiple alter egos.,6510,6510,YES,
IDs.lua,(zone constant),IDs.lua,text_constant,CARRIED_OVER_POINTS,You have carried over <number> login point[/s].,6485,6485,YES,
IDs.lua,(zone constant),IDs.lua,text_constant,CELEBRATORY_GOODS,An assortment of celebratory goods is available for purchase.,10850,10850,YES,
IDs.lua,(zone constant),IDs.lua,text_constant,CONQUEST,You've earned conquest points!,8228,8228,YES,
IDs.lua,(zone constant),IDs.lua,text_constant,CONQUEST_BASE,Tallying conquest results...,6552,6552,YES,
IDs.lua,(zone constant),IDs.lua,text_constant,DETONATOR_LEARNED,You have learned the weapon skill Detonator!,9061,9061,YES,
IDs.lua,(zone constant),IDs.lua,text_constant,EXTENDED_MISSION_OFFSET,Go to Ore Street and talk to Medicine Eagle. He says he was there when the commotion started.,8618,8618,YES,
IDs.lua,(zone constant),IDs.lua,text_constant,FISHING_MESSAGE_OFFSET,You can't fish here.,8027,8027,YES,
IDs.lua,(zone constant),IDs.lua,text_constant,FULL_INVENTORY_AFTER_TRADE,You cannot obtain the <item>. Try trading again after sorting your inventory.,6444,6444,YES,
IDs.lua,(zone constant),IDs.lua,text_constant,GIL_OBTAINED,Obtained <number> gil.,6447,6447,YES,
IDs.lua,(zone constant),IDs.lua,text_constant,GLAROCIQUET_DIALOG,"I am <name>, a Temple Knight. I am one of the guards charged with overseeing San d'Oria's conquest campaign.",8230,8230,YES,
IDs.lua,(zone constant),IDs.lua,text_constant,GOOD_LUCK,"Good luck on your mission. Bastokers like to do things by the book, so stay out of trouble and follow their rules.",7467,7467,YES,
IDs.lua,(zone constant),IDs.lua,text_constant,GP_OBTAINED,Obtained: <number> guild points.,6914,6914,YES,
IDs.lua,(zone constant),IDs.lua,text_constant,GUILD_NEW_CONTRACT,You have formed a new trading contract with the [Fishermen's/Carpenters'/Blacksmiths'/Goldsmiths'/Weavers'/Tanners'/Boneworkers'/Alchemists'/Culinarians'] Guild.,6902,6902,YES,
IDs.lua,(zone constant),IDs.lua,text_constant,GUILD_TERMINATE_CONTRACT,You have terminated your trading contract with the [Fishermen's/Carpenters'/Blacksmiths'/Goldsmiths'/Weavers'/Tanners'/Boneworkers'/Alchemists'/Culinarians'] Guild and formed a new one with the [Fishermen's/Carpenters'/Blacksmiths'/Goldsmiths'/Weavers'/Tanners'/Boneworkers'/Alchemists'/Culinarians'] Guild.,6894,6894,YES,
IDs.lua,(zone constant),IDs.lua,text_constant,HOMEPOINT_SET,Home point set!,11038,11038,YES,
IDs.lua,(zone constant),IDs.lua,text_constant,IMAGE_SUPPORT,Your [fishing/woodworking/smithing/goldsmithing/clothcraft/leatherworking/bonecraft/alchemy/cooking] skills went up [a little/ever so slightly/ever so slightly].,6880,6880,YES,
IDs.lua,(zone constant),IDs.lua,text_constant,ITEMS_OBTAINED,You obtain <number> <item>!,6455,6455,YES,
IDs.lua,(zone constant),IDs.lua,text_constant,ITEM_CANNOT_BE_OBTAINED,You cannot obtain the <item>. Come back after sorting your inventory.,6440,6440,YES,
IDs.lua,(zone constant),IDs.lua,text_constant,ITEM_OBTAINED,Obtained: <item>.,6446,6446,YES,
IDs.lua,(zone constant),IDs.lua,text_constant,ITS_LOCKED,It's locked.,8005,8005,YES,
IDs.lua,(zone constant),IDs.lua,text_constant,KEYITEM_LOST,Lost key item: <keyitem>.,6450,6450,YES,
IDs.lua,(zone constant),IDs.lua,text_constant,KEYITEM_OBTAINED,Obtained key item: <keyitem>.,6449,6449,YES,
IDs.lua,(zone constant),IDs.lua,text_constant,LEXUN_MARIXUN_DIALOG,"I am <name>, a War Warlock. I am one of the guards charged with overseeing Windurst's conquest campaign.",8232,8232,YES,
IDs.lua,(zone constant),IDs.lua,text_constant,LOGIN_CAMPAIGN_UNDERWAY,The [/January/February/March/April/May/June/July/August/September/October/November/December] <number> Login Campaign is currently underway!,6486,6486,YES,
IDs.lua,(zone constant),IDs.lua,text_constant,LOGIN_NUMBER,"In celebration of your most recent login (login no. <number>), we have provided you with <number> points! You currently have a total of <number> points.",6487,6487,YES,
IDs.lua,(zone constant),IDs.lua,text_constant,MEMBERS_LEVELS_ARE_RESTRICTED,Your party is unable to participate because certain members' levels are restricted.,6507,6507,YES,
IDs.lua,(zone constant),IDs.lua,text_constant,MISSION_DIALOG_CID_TO_AYAME,Give it to one of his Mythril Musketeers instead. Ayame and Naji should be on guard near the President's Office. Either one will do.,7594,7594,YES,
IDs.lua,(zone constant),IDs.lua,text_constant,NOGGA_SHOP_DIALOG,I've got some items you won't find elsewhere!,8025,8025,YES,
IDs.lua,(zone constant),IDs.lua,text_constant,NOTHING_OUT_OF_ORDINARY,There is nothing out of the ordinary here.,6460,6460,YES,
IDs.lua,(zone constant),IDs.lua,text_constant,NOT_HAVE_ENOUGH_GIL,You do not have enough gil.,6451,6451,YES,
IDs.lua,(zone constant),IDs.lua,text_constant,NOT_HAVE_ENOUGH_GP,You do not have enough guild points.,6915,6915,YES,
IDs.lua,(zone constant),IDs.lua,text_constant,NO_MORE_GP_ELIGIBLE,You are not eligible to receive guild points at this time.,6909,6909,YES,
IDs.lua,(zone constant),IDs.lua,text_constant,OLAF_SHOP_DIALOG,"We sell items in the Gunpowder Room, too. What do you need?",8024,8024,YES,
IDs.lua,(zone constant),IDs.lua,text_constant,ORIGINAL_MISSION_OFFSET,You can consult the Mission section of the main menu to review your objectives. Speed and efficiency are your priorities. Dismissed.,14,14,YES,
