zoneid,zone_name,mismatched_spawn_pools,matching_spawn_pools
1,Phanauet_Channel,0,14
2,Carpenters_Landing,0,51
3,Manaclipper,0,11
4,Bibiki_Bay,0,53
5,Uleguerand_Range,0,50
6,Bearclaw_Pinnacle,0,8
7,Attohwa_Chasm,0,56
8,Boneyard_Gully,0,23
9,PsoXja,0,61
10,The_Shrouded_Maw,0,6
11,Oldton_Movalpolos,0,42
12,Newton_Movalpolos,0,35
13,Mine_Shaft_2716,0,25
15,Abyssea-Konschtat,0,87
16,Promyvion-Holla,0,13
17,Spire_of_Holla,0,3
18,Promyvion-Dem,0,13
19,Spire_of_Dem,0,7
20,Promyvion-Mea,0,13
21,Spire_of_Mea,0,3
22,Promyvion-Vahzl,0,20
23,Spire_of_Vahzl,0,10
24,Lufaise_Meadows,0,80
25,Misareaux_Coast,0,62
27,Phomiuna_Aqueducts,0,42
28,Sacrarium,0,40
29,Riverne-Site_B01,0,24
30,Riverne-Site_A01,0,21
31,Monarch_Linn,0,16
32,Sealions_Den,0,13
33,AlTaieu,0,62
34,Grand_Palace_of_HuXzoi,0,29
35,The_Garden_of_RuHmet,0,37
36,Empyreal_Paradox,0,7
39,Dynamis-Valkurm,0,214
40,Dynamis-Buburimu,0,241
41,Dynamis-Qufim,0,210
42,Dynamis-Tavnazia,0,63
44,Abdhaljs_Isle-Purgonorgo,0,2
45,Abyssea-Tahrongi,0,58
46,Open_sea_route_to_Al_Zahbi,0,11
47,Open_sea_route_to_Mhaura,0,11
48,Al_Zahbi,0,149
51,Wajaom_Woodlands,0,134
52,Bhaflau_Thickets,0,95
54,Arrapago_Reef,0,101
55,Ilrusi_Atoll,0,35
56,Periqia,0,38
57,Talacca_Cove,0,14
58,Silver_Sea_route_to_Nashmau,0,15
59,Silver_Sea_route_to_Al_Zahbi,0,15
60,The_Ashu_Talif,0,15
61,Mount_Zhayolm,0,61
62,Halvung,0,58
63,Lebros_Cavern,0,21
64,Navukgo_Execution_Chamber,0,8
65,Mamook,0,71
66,Mamool_Ja_Training_Grounds,0,39
67,Jade_Sepulcher,0,20
68,Aydeewa_Subterrane,0,44
69,Leujaoam_Sanctum,0,47
71,The_Colosseum,0,1
72,Alzadaal_Undersea_Ruins,0,12
73,Zhayolm_Remnants,0,126
74,Arrapago_Remnants,0,40
75,Bhaflau_Remnants,0,62
76,Silver_Sea_Remnants,0,46
77,Nyzul_Isle,0,258
78,Hazhalm_Testing_Grounds,0,101
79,Caedarva_Mire,0,78
80,Southern_San_dOria_[S],0,103
81,East_Ronfaure_[S],0,154
82,Jugner_Forest_[S],0,172
83,Vunkerl_Inlet_[S],0,150
84,Batallia_Downs_[S],0,155
85,La_Vaule_[S],0,155
86,Everbloom_Hollow,0,48
87,Bastok_Markets_[S],0,105
88,North_Gustaberg_[S],0,162
89,Grauberg_[S],0,158
90,Pashhow_Marshlands_[S],0,156
91,Rolanberry_Fields_[S],0,169
92,Beadeaux_[S],0,144
93,Ruhotz_Silvermines,0,37
94,Windurst_Waters_[S],0,114
95,West_Sarutabaruta_[S],0,164
96,Fort_Karugo-Narugo_[S],0,141
97,Meriphataud_Mountains_[S],0,159
98,Sauromugue_Champaign_[S],0,157
99,Castle_Oztroja_[S],0,153
100,West_Ronfaure,0,48
101,East_Ronfaure,0,50
102,La_Theine_Plateau,0,57
103,Valkurm_Dunes,0,72
104,Jugner_Forest,0,82
105,Batallia_Downs,0,65
106,North_Gustaberg,0,61
107,South_Gustaberg,0,46
108,Konschtat_Highlands,0,45
109,Pashhow_Marshlands,0,75
110,Rolanberry_Fields,0,59
111,Beaucedine_Glacier,0,58
112,Xarcabard,0,56
113,Cape_Teriggan,0,45
114,Eastern_Altepa_Desert,0,64
115,West_Sarutabaruta,0,58
116,East_Sarutabaruta,0,47
117,Tahrongi_Canyon,0,44
118,Buburimu_Peninsula,0,58
119,Meriphataud_Mountains,0,72
120,Sauromugue_Champaign,0,62
121,The_Sanctuary_of_ZiTah,0,58
122,RoMaeve,0,27
123,Yuhtunga_Jungle,0,56
124,Yhoator_Jungle,0,62
125,Western_Altepa_Desert,0,42
126,Qufim_Island,0,58
127,Behemoths_Dominion,0,19
128,Valley_of_Sorrows,0,9
129,Ghoyus_Reverie,0,66
130,RuAun_Gardens,0,23
132,Abyssea-La_Theine,0,64
134,Dynamis-Beaucedine,0,187
135,Dynamis-Xarcabard,0,104
136,Beaucedine_Glacier_[S],0,143
137,Xarcabard_[S],0,147
138,Castle_Zvahl_Baileys_[S],0,160
139,Horlais_Peak,0,53
140,Ghelsba_Outpost,0,35
141,Fort_Ghelsba,0,22
142,Yughott_Grotto,0,10
143,Palborough_Mines,0,28
144,Waughroon_Shrine,0,58
145,Giddeus,0,27
146,Balgas_Dais,0,65
147,Beadeaux,0,41
148,Qulun_Dome,0,14
149,Davoi,0,50
150,Monastic_Cavern,0,25
151,Castle_Oztroja,0,43
152,Altar_Room,0,9
153,The_Boyahda_Tree,0,41
154,Dragons_Aery,0,6
155,Castle_Zvahl_Keep_[S],0,169
156,Throne_Room_[S],0,3
157,Middle_Delkfutts_Tower,0,36
158,Upper_Delkfutts_Tower,0,26
159,Temple_of_Uggalepih,0,52
160,Den_of_Rancor,0,39
161,Castle_Zvahl_Baileys,0,52
162,Castle_Zvahl_Keep,0,45
163,Sacrificial_Chamber,0,24
164,Garlaige_Citadel_[S],0,126
165,Throne_Room,0,26
166,Ranguemont_Pass,0,30
167,Bostaunieux_Oubliette,0,27
168,Chamber_of_Oracles,0,28
169,Toraimarai_Canal,0,42
170,Full_Moon_Fountain,0,19
171,Crawlers_Nest_[S],0,122
172,Zeruhn_Mines,0,8
173,Korroloka_Tunnel,0,34
174,Kuftal_Tunnel,0,44
175,The_Eldieme_Necropolis_[S],0,132
176,Sea_Serpent_Grotto,0,65
177,VeLugannon_Palace,0,19
178,The_Shrine_of_RuAvitau,0,37
179,Stellar_Fulcrum,0,21
180,LaLoff_Amphitheater,0,16
181,The_Celestial_Nexus,0,8
182,Walk_of_Echoes,0,63
183,Maquette_Abdhaljs-Legion_A,0,40
184,Lower_Delkfutts_Tower,0,30
185,Dynamis-San_dOria,0,48
186,Dynamis-Bastok,0,61
187,Dynamis-Windurst,0,63
188,Dynamis-Jeuno,0,91
190,King_Ranperres_Tomb,0,50
191,Dangruf_Wadi,0,33
192,Inner_Horutoto_Ruins,0,27
193,Ordelles_Caves,0,55
194,Outer_Horutoto_Ruins,0,69
195,The_Eldieme_Necropolis,0,58
196,Gusgen_Mines,0,46
197,Crawlers_Nest,0,40
198,Maze_of_Shakhrami,0,45
200,Garlaige_Citadel,0,48
201,Cloister_of_Gales,0,7
202,Cloister_of_Storms,0,8
203,Cloister_of_Frost,0,7
204,FeiYin,0,45
205,Ifrits_Cauldron,0,33
206,QuBia_Arena,0,73
207,Cloister_of_Flames,0,6
208,Quicksand_Caves,0,48
209,Cloister_of_Tremors,0,7
210,GM_Home,0,1
211,Cloister_of_Tides,0,6
212,Gustav_Tunnel,0,43
213,Labyrinth_of_Onzozo,0,36
215,Abyssea-Attohwa,0,72
216,Abyssea-Misareaux,0,73
217,Abyssea-Vunkerl,0,72
218,Abyssea-Altepa,0,50
220,Ship_bound_for_Selbina,0,13
221,Ship_bound_for_Mhaura,0,12
222,Provenance,0,8
227,Ship_bound_for_Selbina_Pirates,0,14
228,Ship_bound_for_Mhaura_Pirates,0,13
229,Throne_Room_[V],0,6
253,Abyssea-Uleguerand,0,49
254,Abyssea-Grauberg,0,51
255,Abyssea-Empyreal_Paradox,0,1
258,Rala_Waterways,0,18
259,Rala_Waterways_U,0,18
260,Yahse_Hunting_Grounds,0,34
261,Ceizak_Battlegrounds,0,41
262,Foret_de_Hennetiel,0,39
263,Yorcia_Weald,0,39
265,Morimar_Basalt_Fields,0,38
266,Marjami_Ravine,0,41
267,Kamihr_Drifts,0,33
268,Sih_Gates,0,36
269,Moh_Gates,0,39
270,Cirdas_Caverns,0,44
272,Dho_Gates,0,42
273,Woh_Gates,0,32
274,Outer_RaKaznar,0,41
276,RaKaznar_Inner_Court,0,52
278,Gwora-Corridor,0,4
279,Walk_of_Echoes_[P2],0,1
287,Maquette_Abdhaljs-Legion_B,0,35
288,Escha_ZiTah,0,62
289,Escha_RuAun,0,100
290,Desuetia_Empyreal_Paradox,0,1
291,Reisenjima,0,90
293,Reisenjima_Sanctorium,0,2
298,Walk_of_Echoes_[P1],0,3
299,Gwora-Throne_Room,0,18
