poolid,pool_name,speciesid,species,crystal,zones
53,Aerns_Avatar,34,Orobon,Water,
200,Apollyon_Cleaner,175,Bird,Fire,
201,Apollyon_Sapling,216,Falxitaur,Dark,
202,Apollyon_Scavenger,58,Rook,None,
203,Apollyon_Sweeper,84,Rampart,None,
209,Arboricole_Beetle,49,Batons,Earth,
210,Arboricole_Crawler,79,Gear,None,
211,Arboricole_Hornet,48,Snoll,Ice,
212,Arboricole_Opo-opo,188,Gagana,Light,
213,Arboricole_Raven,55,Knight,None,
214,Arboricole_Spider,235,Wyvern,Water,
248,Armoury_Crate,183,Triple_Flock,Wind,
341,Bardha,121,Gigas,Ice,
345,Barometz,178,Ziz,Earth,
389,Beli,126,Goblin,Fire,
409,Bialozar,125,Armored_Moblin,Lightning,
507,Borametz,178,Ziz,Earth,
644,Carnagechief_Jackbodokk,189,Legendary_Roc,Light,
796,Cornu,55,Knight,None,
841,Criosphinx,179,Colibri,Wind,
843,Cronos,126,Goblin,Fire,
846,Cryptonberry_Abductor,243,Carbuncle,None,
848,Cryptonberry_Charmer,243,Carbuncle,None,
850,Cryptonberry_Designator,243,Carbuncle,None,
855,Cryptonberry_Skulker,243,Carbuncle,None,
952,Dee_Wapa_the_Desolator,270,Macuil,None,
1229,Enhanced_Slime,229,Earth_Wyrm,Earth,
1230,Enhanced_Tiger,242,Cait_Sith,None,
1231,Enhanced_Vulture,55,Knight,None,
1263,Evil_Armory,110,Lucerewe,Earth,
1346,Jidra,245,Diabolos,None,
1374,Flying_Spear,110,Lucerewe,Earth,
1515,Ghost_Clot,66,Sentient_Tome,None,
1656,Goblin_Fencer,133,Sage,Wind,
1714,Goblin_Slaughterman,133,Sage,Wind,
1736,Goblin_Theurgist,133,Sage,Wind,
1743,Goblin_Warlord,133,Sage,Wind,
1759,Goobbue_Harvester,136,Meeble,Lightning,
1771,Gorynich,266,Ungeweder,None,
1797,Grave_Digger,74,Spheroid,Lightning,
1818,Grognard_Footsoldier,189,Legendary_Roc,Light,
1819,Grognard_Grappler,189,Legendary_Roc,Light,
1820,Grognard_Impaler,189,Legendary_Roc,Light,
1821,Grognard_Mesmerizer,189,Legendary_Roc,Light,
1822,Grognard_Neckchopper,189,Legendary_Roc,Light,
1823,Grognard_Predator,189,Legendary_Roc,Light,
1849,Gunpod,234,Red_Wyvern,Water,
2039,Hyperion,126,Goblin,Fire,
2082,Inhumer,227,Blue_Wyrm,Ice,
2149,Jidra,245,Diabolos,None,
2152,JiGho_Ageless,202,Red_Demon,Dark,
2193,Kari,126,Goblin,Fire,
2211,Kerkopes,188,Gagana,Light,
2279,Koo_Buzu_the_Theomanic,270,Macuil,None,
2289,Kronprinz_Behemoth,51,Cups,Water,
2412,Lightsteel_Quadav,202,Red_Demon,Dark,
2634,Metalloid_Amoeba,229,Earth_Wyrm,Earth,
2661,Millenary_Mossback,2,Yecuex,Water,
2691,Moblin_Dustman,184,Harpeia,Wind,
2757,Mountain_Buffalo,57,Queen,None,
2815,NaQba_Chirurgeon,202,Red_Demon,Dark,
2959,Okeanos,126,Goblin,Fire,
3052,Orichalcum_Quadav,202,Red_Demon,Dark,
3192,Praetorian_Guard_CCCXI,25,Crab,Water,
3208,Proto-Omega,54,King,None,
3209,Proto-Ultima,54,King,None,
3634,Sirin,55,Knight,None,
3642,Skadi,126,Goblin,Fire,
3758,Star_Sapphire_Quadav,202,Red_Demon,Dark,
3895,Thiazi,125,Armored_Moblin,Lightning,
3908,Thrym,126,Goblin,Fire,
3918,Tieholtsodi,219,Dragon,Dark,
4008,Troglodyte_Dhalmel,80,Triple_Cog,None,
4372,Wootz_Quadav,202,Red_Demon,Dark,
4406,Yagudo_Archpriest,270,Macuil,None,
4415,Yagudo_Disciplinant,270,Macuil,None,
4429,Yagudo_Kapellmeister,270,Macuil,None,
4443,Yagudo_Prelatess,270,Macuil,None,
4513,Zlatorog,208,Gargouille,Dark,
