display_name,script_name,npc_id,primary_text_id,primary_text_key,primary_event_id,alt_text_ids,alt_text_keys,alt_event_ids,trade_text_ids,trade_text_keys,event_finish_text_ids,event_finish_text_keys,notes
01,01,17719374,,,,,,,,,,,no default text/event
02,02,17719375,,,,,,,,,,,no default text/event
03,03,17719376,,,,,,,,,,,no default text/event
04,04,17719377,,,,,,,,,,,no default text/event
05,05,17719378,,,,,,,,,,,no default text/event
0x1A,0x1A,17719745,,,,,,,,,,,no default text/event
0x6801,0x6801,17719729,,,,,,,,,,,no default text/event
0x6801,0x6801,17719730,,,,,,,,,,,no default text/event
0x6801,0x6801,17719731,,,,,,,,,,,no default text/event
0x6801,0x6801,17719732,,,,,,,,,,,no default text/event
0x6801,0x6801,17719733,,,,,,,,,,,no default text/event
0x6801,0x6801,17719734,,,,,,,,,,,no default text/event
0x6801,0x6801,17719735,,,,,,,,,,,no default text/event
0x6801,0x6801,17719736,,,,,,,,,,,no default text/event
0x6801,0x6801,17719737,,,,,,,,,,,no default text/event
0x6801,0x6801,17719738,,,,,,,,,,,no default text/event
0x6801,0x6801,17719739,,,,,,,,,,,no default text/event
0x6801,0x6801,17719740,,,,,,,,,,,no default text/event
0x6801,0x6801,17719741,,,,,,,,,,,no default text/event
0x6801,0x6801,17719742,,,,,,,,,,,no default text/event
0x6801,0x6801,17719743,,,,,,,,,,,no default text/event
0x6801,0x6801,17719744,,,,,,,,,,,no default text/event
0x8A01,0x8A01,17719746,,,,,,,,,,,no default text/event
???,qm,17719439,,,,,,,,,,,no default text/event
???,qm2,17719506,6445,NOTHING_OUT_OF_ORDINARY,,,,,,,,,default
???,qm3,17719507,6445,NOTHING_OUT_OF_ORDINARY,,,,41,,,,,script onTrigger
???,qm4,17719508,6445,NOTHING_OUT_OF_ORDINARY,,,,,,,,,default
???,qm5,17719544,,,,,,,,,,,no default text/event
???,qm6,17719617,,,,,,,,,,,no default text/event
???,qm7,17719621,,,,,,,,,,,no default text/event
???,qm8,17719622,,,,,,,,,,,no default text/event
???,qm9,17719639,,,,,,,,,,,no default text/event
???,qm10,17719644,,,,,,,,,,,no default text/event
???,qm11,17719645,,,,,,,,,,,no default text/event
???,qm12,17720014,,,,,,,,,,,no default text/event
_6fa,_6fa,17719502,,,,,,,,,,,no default text/event
A,A,17719671,,,,,,,,,,,no default text/event
A.M.A.N. Liaison,AMAN_Liaison,17720033,,,3617,,,3618; 3619,,,,,script onTrigger event
A.M.A.N. Reclaimer,AMAN_Reclaimer,17719640,,,,,,,,,,,no default text/event
A.M.A.N. Validator,AMAN_Validator,17720032,,,,,,,,,,,no default text/event
Achieve Master,Achieve_Master,17720002,,,,,,,,,,,no default text/event
Adaunel,Adaunel,17719486,,,656,,,,,,,,default event
Ailbeche,Ailbeche,17719504,,,,,,,,,,,no default text/event
Ailevia,Ailevia,17719422,,,,,,,,,,,printToPlayer only
Alaune,Alaune,17719618,,,,,,,,,,,no default text/event
Alivatand,Alivatand,17719548,,,690,,,,,,6843,GP_OBTAINED,script onTrigger event
Amaura,Amaura,17719327,,,645,,,646,,,,,script onTrigger event
Ambrotien,Ambrotien,17719394,,,2011,,,2001; 2009,,,,,script onTrigger event
Amutiyaal,Amutiyaal,17719569,,,812,,,813; 815; 814,,,6439,KEYITEM_LOST,script onTrigger event
Ancolain,Ancolain,17719361,,,,,,,,,,,no default text/event
Andecia,Andecia,17719308,,,,,,,,,,,no default text/event
Antreneau,Antreneau,17719511,,,,,,,,,,,no default text/event
